Property_price_EGP,Location_governorate,Location_City,Bed_Rooms,Bath_Rooms,Home_Space_SQM,Furnished,Property_Type,Payment_Option,Delivery_Date
"2,000,000Negotiable",,209 SQM,33icon/categories/area209 SQM,,icon/categories/area209,No,Apartment,Cash,Ready To Move
"950,000Negotiable",,140 SQM,22icon/categories/area140 SQM,,icon/categories/area140,No,Apartment,Cash,Ready To Move
"1,850,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"1,850,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"9,737,500",Cairo,Mokattam,3,3,310,No,Apartment,Cash,Ready To Move
"2,200,000",Cairo,Madinaty,3,2,133,No,Apartment,Cash,Ready To Move
"710,000",Cairo,Badr City,3,2,150,No,Apartment,Cash,Ready To Move
"3,100,000Negotiable",,155 SQM,33icon/categories/area155 SQM,,icon/categories/area155,No,Apartment,Cash,Ready To Move
"2,300,000",Cairo,Madinaty,3,2,135,No,Apartment,Cash,Ready To Move
"1,800,000",Giza,West Somid,3,3,230,No,Apartment,Cash,Ready To Move
"1,750,000",Cairo,Madinaty,2,1,100,No,Apartment,Cash,Ready To Move
"225,000",Alexandria,Agami,2,1,90,No,Apartment,Cash,Ready To Move
"2,800,000",Cairo,Madinaty,3,3,165,No,Apartment,Cash,Ready To Move
"770,000Negotiable",,88 SQM,21icon/categories/area88 SQM,,icon/categories/area88,No,Apartment,Cash,Ready To Move
"2,600,000",Cairo,Madinaty,3,2,140,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Obour City,3,2,230,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"1,550,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"350,000Negotiable",,80 SQM,21icon/categories/area80 SQM,,icon/categories/area80,No,Apartment,Cash,Ready To Move
"550,000Negotiable",,95 SQM,31icon/categories/area95 SQM,,icon/categories/area95,No,Apartment,Cash,Ready To Move
"2,800,000",Cairo,New Cairo - El Tagamoa,3,2,146,No,Apartment,Cash,Ready To Move
"2,150,000",Giza,6th of October,3,2,195,No,Apartment,Cash,Ready To Move
"2,500,000",Alexandria,Saba Pasha,3,2,250,No,Apartment,Cash,Ready To Move
"1,150,000",Giza,Hadayek al-Ahram,3,2,"250,000",No,Apartment,Cash,Ready To Move
"2,350,000Negotiable",,131 SQM,33icon/categories/area131 SQM,,icon/categories/area131,No,Apartment,Cash,Ready To Move
"790,000",Giza,Hadayek al-Ahram,3,2,160,No,Apartment,Cash,Ready To Move
"1,050,000",Alexandria,Victoria,3,1,140,No,Apartment,Cash,Ready To Move
"1,600,000",Cairo,Madinaty,2,1,107,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Madinaty,3,2,103,No,Apartment,Cash,Ready To Move
"1,500,000",Giza,Sheikh Zayed,3,2,160,No,Apartment,Cash,Ready To Move
"2,250,000",Cairo,Rehab City,2,2,180,No,Apartment,Cash,Ready To Move
"900,000Negotiable",,125 SQM,31icon/categories/area125 SQM,,icon/categories/area125,No,Apartment,Cash,Ready To Move
"2,800,000Negotiable",,171 SQM,33icon/categories/area171 SQM,,icon/categories/area171,No,Apartment,Cash,Ready To Move
"2,850,000",Cairo,Madinaty,3,2,143,No,Apartment,Cash,Ready To Move
"560,000Negotiable",,105 SQM,22icon/categories/area105 SQM,,icon/categories/area105,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Madinaty,2,1,107,No,Apartment,Cash,Ready To Move
"1,400,000",Cairo,Madinaty,2,1,67,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Madinaty,3,2,103,No,Apartment,Cash,Ready To Move
"3,950,000",Cairo,Madinaty,3,3,186,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,3,175,No,Apartment,Cash,Ready To Move
"1,450,000",Cairo,Madinaty,2,2,89,No,Apartment,Cash,Ready To Move
"220,000Negotiable",,120 SQM,21icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,3,175,No,Apartment,Cash,Ready To Move
"5,000,000",Cairo,Madinaty,4,3,324,No,Apartment,Cash,Ready To Move
"6,500,000Negotiable",,350 SQM,43icon/categories/area350 SQM,,icon/categories/area350,No,Apartment,Cash,Ready To Move
"5,000,000",Cairo,Maadi,4,3,270,No,Apartment,Cash,Ready To Move
"1,900,000Negotiable",,160 SQM,33icon/categories/area160 SQM,,icon/categories/area160,No,Apartment,Cash,Ready To Move
"2,000,000",Giza,Sheikh Zayed,3,1,174,No,Apartment,Cash,Ready To Move
"1,450,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"550,000",Cairo,Hadayek al-Kobba,2,1,80,No,Apartment,Cash,Ready To Move
"1,100,000Negotiable",,125 SQM,22icon/categories/area125 SQM,,icon/categories/area125,No,Apartment,Cash,Ready To Move
"235,000",Alexandria,Nakheel,2,1,100,No,Apartment,Cash,Ready To Move
"355,000Negotiable",,120 SQM,22icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"350,000Negotiable",,135 SQM,31icon/categories/area135 SQM,,icon/categories/area135,No,Apartment,Cash,Ready To Move
"1,300,000Negotiable",,160 SQM,32icon/categories/area160 SQM,,icon/categories/area160,No,Apartment,Cash,Ready To Move
"170,000",Red Sea,Safaga,2,1,66,No,Apartment,Cash,Ready To Move
"1,750,000",Giza,Sheikh Zayed,3,2,130,No,Apartment,Cash,Ready To Move
"3,700,000",Cairo,Rehab City,4,3,196,No,Apartment,Cash,Ready To Move
"520,000",Cairo,New Cairo - El Tagamoa,3,2,130,No,Apartment,Cash,Ready To Move
"3,500,000Negotiable",,210 SQM,33icon/categories/area210 SQM,,icon/categories/area210,No,Apartment,Cash,Ready To Move
"2,300,000",Cairo,Rehab City,3,3,155,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Madinaty,3,2,103,No,Apartment,Cash,Ready To Move
"1,750,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Madinaty,3,2,168,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"270,000Negotiable",,180 SQM,21icon/categories/area180 SQM,,icon/categories/area180,No,Apartment,Cash,Ready To Move
"1,550,000",Cairo,Rehab City,2,1,90,No,Apartment,Cash,Ready To Move
"1,700,000Negotiable",,180 SQM,31icon/categories/area180 SQM,,icon/categories/area180,No,Apartment,Cash,Ready To Move
"1,100,000Negotiable",,120 SQM,31icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"3,300,000",Cairo,Madinaty,3,3,165,No,Apartment,Cash,Ready To Move
"475,000",Alexandria,Bacchus,2,1,70,No,Apartment,Cash,Ready To Move
"2,100,000Negotiable",,210 SQM,33icon/categories/area210 SQM,,icon/categories/area210,No,Apartment,Cash,Ready To Move
"650,000",Alexandria,Mandara,2,1,70,No,Apartment,Cash,Ready To Move
"2,300,000",Cairo,Madinaty,3,2,131,No,Apartment,Cash,Ready To Move
